"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 02, 2020","1,735.20","1,755.15","1,756.85","1,728.20","-","-0.86%"
"Jun 01, 2020","1,750.30","1,749.80","1,761.00","1,737.60","146.13K","-0.08%"
"May 29, 2020","1,751.70","1,732.70","1,754.50","1,725.30","150.11K","1.35%"
"May 28, 2020","1,728.30","1,725.00","1,743.70","1,720.00","164.82K","0.09%"
"May 27, 2020","1,726.80","1,724.10","1,729.10","1,701.60","158.95K","-0.08%"
"May 26, 2020","1,728.20","1,753.00","1,755.60","1,721.20","152.50K","0.07%"
"May 25, 2020","1,727.00","1,730.55","1,731.35","1,719.25","-","-0.21%"
"May 24, 2020","1,730.65","1,735.45","1,735.90","1,729.80","-","-0.28%"
"May 22, 2020","1,735.50","1,726.00","1,742.00","1,722.50","196.82K","0.79%"
"May 21, 2020","1,721.90","1,751.70","1,751.70","1,715.30","238.74K","-1.72%"
"May 20, 2020","1,752.10","1,749.20","1,757.60","1,744.00","184.46K","0.37%"
"May 19, 2020","1,745.60","1,734.80","1,751.60","1,727.20","185.26K","0.65%"
"May 18, 2020","1,734.40","1,757.50","1,775.80","1,729.30","271.47K","-1.25%"
"May 15, 2020","1,756.30","1,738.50","1,761.20","1,736.80","200.18K","0.88%"
"May 14, 2020","1,740.90","1,723.10","1,746.50","1,716.00","212.91K","1.43%"
"May 13, 2020","1,716.40","1,705.00","1,726.50","1,701.60","211.61K","0.56%"
"May 12, 2020","1,706.80","1,700.00","1,716.70","1,693.50","198.07K","0.52%"
"May 11, 2020","1,698.00","1,706.00","1,713.80","1,692.10","202.17K","-0.93%"
"May 08, 2020","1,713.90","1,727.20","1,735.50","1,703.10","232.81K","-0.69%"
"May 07, 2020","1,725.80","1,686.00","1,733.20","1,683.90","250.70K","2.21%"
"May 06, 2020","1,688.50","1,714.10","1,716.60","1,683.00","203.37K","-1.29%"
"May 05, 2020","1,710.60","1,711.00","1,717.80","1,695.40","184.73K","-0.16%"
"May 04, 2020","1,713.30","1,711.20","1,726.00","1,700.30","148.73K","0.73%"
"May 01, 2020","1,700.90","1,693.50","1,714.40","1,676.00","168.02K","0.40%"
"Apr 30, 2020","1,694.20","1,729.60","1,737.00","1,687.50","234.53K","-1.12%"
"Apr 29, 2020","1,713.40","1,724.80","1,733.50","1,708.20","159.60K","-0.51%"
"Apr 28, 2020","1,722.20","1,724.40","1,731.90","1,704.10","171.34K","-0.09%"
"Apr 27, 2020","1,723.80","1,745.00","1,745.80","1,720.00","146.64K","-0.68%"
"Apr 24, 2020","1,735.60","1,753.00","1,760.20","1,725.40","180.24K","-0.56%"
"Apr 23, 2020","1,745.40","1,736.50","1,764.20","1,730.60","201.88K","0.41%"
"Apr 22, 2020","1,738.30","1,703.10","1,742.40","1,695.40","193.73K","2.99%"
"Apr 21, 2020","1,687.80","1,713.30","1,718.00","1,666.20","248.63K","-1.37%"
"Apr 20, 2020","1,711.20","1,693.00","1,718.40","1,685.00","186.91K","0.73%"
"Apr 17, 2020","1,698.80","1,738.50","1,738.80","1,691.20","227.07K","-1.90%"
"Apr 16, 2020","1,731.70","1,743.50","1,768.00","1,722.60","204.23K","-0.49%"
"Apr 15, 2020","1,740.20","1,758.10","1,759.80","1,731.60","186.70K","-1.62%"
"Apr 14, 2020","1,768.90","1,761.50","1,788.80","1,747.10","241.19K","0.43%"
"Apr 13, 2020","1,761.40","1,742.30","1,772.80","1,724.20","166.89K","1.19%"
"Apr 10, 2020","1,740.60","1,740.60","1,740.60","1,740.60","-","-0.70%"
"Apr 09, 2020","1,752.80","1,680.50","1,754.50","1,676.50","218.80K","4.07%"
"Apr 08, 2020","1,684.30","1,678.70","1,695.80","1,670.70","125.33K","0.04%"
"Apr 07, 2020","1,683.70","1,707.10","1,742.60","1,672.00","204.50K","-0.60%"
"Apr 06, 2020","1,693.90","1,647.70","1,715.80","1,638.20","192.75K","2.93%"
"Apr 03, 2020","1,645.70","1,635.30","1,652.80","1,624.40","139.61K","0.49%"
"Apr 02, 2020","1,637.70","1,602.40","1,645.60","1,595.20","167.71K","2.91%"
