"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 02, 2020","18.360","18.855","18.902","18.117","-","-2.48%"
"Jun 01, 2020","18.827","18.635","18.950","18.455","62.65K","0.77%"
"May 31, 2020","18.683","18.470","18.755","18.470","-","0.99%"
"May 29, 2020","18.499","17.920","18.550","17.810","64.04K","2.96%"
"May 28, 2020","17.967","17.800","18.110","17.685","61.04K","1.18%"
"May 27, 2020","17.757","17.560","17.860","17.225","65.07K","0.92%"
"May 26, 2020","17.595","17.630","18.040","17.370","77.62K","-0.27%"
"May 25, 2020","17.642","17.637","17.685","17.370","-","-0.02%"
"May 24, 2020","17.645","17.675","17.703","17.617","-","-0.27%"
"May 22, 2020","17.693","17.435","17.770","17.190","51.24K","1.89%"
"May 21, 2020","17.364","18.055","18.060","17.260","74.68K","-3.70%"
"May 20, 2020","18.031","17.875","18.165","17.755","62.49K","0.73%"
"May 19, 2020","17.901","17.370","18.010","17.340","66.69K","2.48%"
"May 18, 2020","17.468","17.225","17.985","17.125","91.02K","0.74%"
"May 17, 2020","17.340","17.110","17.400","17.110","-","1.58%"
"May 15, 2020","17.070","16.185","17.150","16.155","80.68K","5.66%"
"May 14, 2020","16.156","15.755","16.225","15.660","52.22K","3.09%"
"May 13, 2020","15.671","15.625","15.910","15.545","42.56K","-0.24%"
"May 12, 2020","15.709","15.700","15.880","15.525","35.61K","0.18%"
"May 11, 2020","15.680","15.755","15.920","15.510","37.38K","-1.10%"
"May 10, 2020","15.855","15.790","15.870","15.750","-","0.49%"
"May 08, 2020","15.778","15.625","15.980","15.505","58.81K","1.21%"
"May 07, 2020","15.590","14.920","15.695","14.920","49.27K","3.83%"
"May 06, 2020","15.015","15.115","15.390","14.840","38.73K","-0.63%"
"May 05, 2020","15.110","14.845","15.200","14.760","32.04K","2.12%"
"May 04, 2020","14.796","15.075","15.225","14.760","37.06K","-1.16%"
"May 03, 2020","14.970","15.010","15.120","14.805","-","0.21%"
"May 01, 2020","14.938","15.075","15.150","14.820","32.19K","-0.23%"
"Apr 30, 2020","14.973","15.530","15.940","14.850","66.67K","-2.23%"
"Apr 29, 2020","15.315","15.330","15.605","15.235","42.10K","-0.08%"
"Apr 28, 2020","15.328","15.435","15.505","15.085","31.34K","-0.08%"
"Apr 27, 2020","15.341","15.490","15.635","15.300","19.48K","-0.16%"
"Apr 26, 2020","15.365","15.350","15.390","15.290","-","-0.52%"
"Apr 24, 2020","15.445","15.535","15.730","15.275","18.75K","-0.52%"
"Apr 23, 2020","15.526","15.450","15.885","15.355","17.54K","0.15%"
"Apr 22, 2020","15.503","15.075","15.535","14.895","15.04K","3.42%"
"Apr 21, 2020","14.991","15.675","15.710","14.715","18.39K","-4.82%"
"Apr 20, 2020","15.750","15.425","15.805","15.325","10.76K","3.31%"
"Apr 19, 2020","15.245","15.290","15.355","15.235","-","-1.29%"
"Apr 17, 2020","15.445","15.890","15.945","15.335","9.21K","-2.04%"
"Apr 16, 2020","15.766","15.790","16.045","15.585","9.44K","0.72%"
"Apr 15, 2020","15.654","16.250","16.255","15.625","10.53K","-4.20%"
"Apr 14, 2020","16.341","15.835","16.505","15.835","19.45K","3.84%"
"Apr 13, 2020","15.737","16.025","16.100","15.540","13.58K","-0.18%"
"Apr 12, 2020","15.765","15.865","15.973","15.732","-","-0.94%"
"Apr 10, 2020","15.915","15.915","15.915","15.915","-","-2.01%"
"Apr 09, 2020","16.242","15.255","16.300","15.245","20.02K","6.38%"
"Apr 08, 2020","15.268","15.340","15.480","15.180","12.74K","-1.70%"
"Apr 07, 2020","15.532","15.325","15.950","15.275","18.28K","2.13%"
"Apr 06, 2020","15.208","14.590","15.430","14.400","8.27K","4.67%"
"Apr 05, 2020","14.530","14.500","14.570","14.357","-","0.05%"
"Apr 03, 2020","14.523","14.655","14.765","14.465","4.38K","-1.11%"
"Apr 02, 2020","14.686","14.140","14.745","14.030","5.22K","4.72%"
